 ,,,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,,,,Vero-E6 Zaliani ,,,,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,,,,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,Activity ranks,PK/PD,,,,,,,Red Flags,,,,,,
Cabergoline,"Antiparkinsonian, Antidyskinetic","Neuroactive ligand-receptor interaction, Dopaminergic synapse, Prolactin signaling pathway","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR7",dopamine receptor agonist,,,9.2,pKi,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)C[C@H]21,451.615,3.1939,4,2,8,71.68,3,,,,,0.2,,,,,,15.57,,,,,,,19.95262315,-98.1251517,19.9526,97.926,Inconclusive,0,2.204313515,0,0,Inactive,Inactive,35.48133892,-0.3451302699,35.4813,47.3171,Inconclusive,0,0.1528995094,0,0,Inactive,Inactive,12.58925412,68.72586133,,,,,,0,-33.75430762,,,,,,,0.294052515,Oral,,Moderately bound (40% to 42%) to human plasma proteins in a concentration-independent manner.,,"* renal cl=0,008 L/min
 * nonrenal cl=3.2 L/min",The elimination half-life is estimated from urinary data of 12 healthy subjects to range between 63 to 69 hours.,65 %,"almotriptan
eletriptan
frovatriptan
glyceryl trinitrate pr
naratriptan
nitroglycerin IV
nitroglycerin sublingual
nitroglycerin topical
nitroglycerin transdermal
nitroglycerin translingual
rizatriptan
sumatriptan
sumatriptan intranasal
zolmitriptan","Uncontrolled hypertension
Hypersensitivity to ergot derivatives
Severe hepatic disease",Category B1,Not recommended,None,,
Acrivastine,Antiallergic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",HRH1,histamine receptor antagonist,,,,,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,348.446,4.01532,3,1,6,53.43,0,28.58,,,,0.05,,,,,0.1912,11.52,,,,,,,39.81071706,-18.66364175,39.8107,30.2251,Inconclusive,0,3.466940646,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,3.21311899,0,0,Inactive,Inactive,0,-0.6866576426,,,,,,0,-32.0431464,,,,,,,0.294793256,Oral,,Acrivastine binding to human plasma proteins was 50 ± 2.0%.,0.46 ± 0.05 L/kg,2.9 ± 0.7 mL/min/kg,The mean terminal half-life for acrivastine was 1.9 ± 0.3 hours following single oral doses and increased to 3.5 ± 1.9 hours at steady state. The terminal half-life for the propionic acid metabolite was 3.8 ± 1.4 hours.,18 %,Dihydroergotamine; dihydroergotamine inhaled; dihydroergotamine intranasal; ergoloid mesylates; ergonovine; ergotamine; isocarboxazid; linezolid; methylergonovine; phenelzine; procarbazine; rasagiline; selegiline; selegiline transdermal; tranylcypromine,Hypersensitivity; severe hypertention,NA,Use with caution,NA,,
Elvitegravir,Anti-HIV,NA,,HIV integrase inhibitor,,,,,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,447.89,4.281,5,2,7,88.76,1,7.47,,,,0.46,,,,,0.1404,10.31,,,,,,,0.0011220185,-356.1835003,0,0,Inactive,0,3.679002689,0,0,Inactive,Inactive,12.58925412,-222.6469686,12.5893,80.6309,Active,0,0,0,0,Inactive,Inactive,0,-1.420278371,,,,,,10,-80.60074756,,,,,,,0.3353710948,Oral,,Elvitegravir is 98–99% bound to human plasma proteins,,,The median terminal plasma half-life following administration of elvitegravir and ritonavir was approximately 8.7 hours.,,NA,NA,Category B2,Not recommended,NA,,
Dasabuvir,Antiviral,NA,,HCV inhibitor,,,,,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,493.585,4.0236,6,2,5,110.26,0,-10.02,,,,0.55,,,,0.184,0.3029,17.1,,,,,,,5.011872336,-79.47204571,5.0119,32.765,Inconclusive,0,-3.990996553,0,0,Inactive,Inactive,39.81071706,-109.4435869,39.8107,63.7795,Inconclusive,0,0.5959875143,0,0,Inactive,Inactive,12.58925412,39.48904639,,,,12.589254,48.664,3.981071706,-41.59730306,,,,,14.125375,42.532,0.4206438181,Oral ,,Dasabuvir is greater than 99.5% bound to human plasma proteins [FDA Label].,2.13 L/kg,Clearance of Dasabuvir has not been determined.,5.70 hours,The absolute bioavailability of Dasabuvir is 70%.,NA,NA,NA,Use with caution,NA,,
Silodosin,Antidysuria,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D",adrenergic receptor antagonist,,,10.44,pKi,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,495.542,3.0711,6,3,13,97.05,1,-9.07,,,,-0.03,,,,0.8702,0.3783,18,,,,,,,39.81071706,-10.39907817,39.8107,47.6829,Inconclusive,0,-3.945999149,0,0,Inactive,Inactive,0,-2.210205697,0,0,Inactive,0,-37.71000725,0,0,Inactive,Inactive,0,-2.973387895,,,,,,0,-19.97735486,,,,,,,0.4221375037,Oral,"Following oral administration of silodosin 8 mg once daily in healthy male subjects, Cmax was 61.6 ± 27.54 ng/mL and AUC was 373.4 ± 164.94 ng x hr/mL. The Tmax was 2.6 ± 0.90 hours.7 Silodosin glucuronide or KMD-3213G, the main metabolite of silodosin, has an AUC three- or four fold higher than for the parent compound; A moderate fat or calorie meal reduces Cmax by 18% to 43% and AUC by 4% to 49",97% bound to protein ,49.5 L,2.80 mL/min/kg,3.60 hours,32 %,"itraconazole
ombitasvir/paritaprevir/ritonavir & dasabuvir","Hypersensitivity
Severe renal impairment (CrCl <30 mL/min)
Severe hepatic impairment (Child-Pugh Score >10)",Category B3,Not recommended,None,,
Lumacaftor,CFTR corrector,"ABC transporters, Gastric acid secretion, Pancreatic secretion, Bile secretion",CFTR,CFTR channel agonist,,,6.46,pEC50,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,452.413,4.74702,5,2,5,97.75,0,37.26,,,,0.02,,,,,0.04797,2.625,,,,,,,3.16227766,-55.89001864,3.1623,43.2008,Inconclusive,0,0.1680592001,0,0,Inactive,Inactive,0,-51.75491424,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,6.258826113,,,,,,0,-16.9324573,,,,,,,0.4816664437,Oral,Peak plasma concentrations reached at 4 h following administration,"Lumacaftor is extensively protein bound in the plasma (99%), and binds primarily to albumin.[FDA Label]","Following oral administration of 200 mg of lumacaftor every 24 hours to cystic fibrosis patients in a fed state for 28 days, the mean (+/-SD) for apparent volumes of distribution was 86.0 (69.8) L.[FDA Label]","The typical apparent clearance, CL/F (CV), of lumacaftor was estimated to be 2.38 L/hr.[FDA Label]",The half-life of lumacaftor is approximately 26 hours.[FDA Label],,Bosentan; carbamazepine; cariprazine; cobimetinib; dabrafenib; dexamethasone; doravirine; efavirenz; elbasvir/grazoprevir; enzalutamide; eslicarbazepine acetate; etravirine; fosphenytoin; fostemsavir; isavuconazonium sulfate; lonafarnib; lorlatinib; mitotane; nafcillin; nevirapine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; primidone; rifabutin; rifampin; rifapentine; St John's Wort,None,Category B3,Not recommended,NA,,
Stiripentol,Anticonvulsant,NA,GABRA3,GABA uptake inhibitor,,,,,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,234.295,2.8355,3,1,2,38.69,1,2.28,,,,0.04,,,,0.1907,,23.97,,,,,,,39.81071706,-16.71890475,39.8107,57.344,Inconclusive,0,-13.23716458,0,0,Inactive,Inactive,0,2.4004399,0,0,Inactive,0,1.623265504,0,0,Inactive,Inactive,0,-1.94764978,,,,,,0,-30.55666365,,,,,,,0.4911907206,Oral,,Stiripentol binds extensively to circulating plasma proteins (about 99%) [L880].,The average volume of distribution is 1.03 L/kg but does not display a dose-dependent relationship. It is expected to be distributed into the extravascular space and with a high degree of tissue binding,"Plasma clearance decreases markedly at high doses| it falls from approximately 40 L/kg/day at the dose of 600 mg/day to about 8 L/kg/day at the dose of 2,400 mg [L880]. Decreased clearance is probably explained by inhibition of the cytochrome P450 isoenzymes that catalyzes stiripentol metabolism [L880].","Elimination half life is approximately ranges from 4.5 to 13 hours, in a dose-dependent manner [L880].",,Finerenone; idelalisib; isavuconazonium sulfate; lonafarnib; voclosporin,NA,Category B3,Not recommended,NA,,
Pretomanid,Antibacterial (tuberculostatic),NA,FASN,nitric oxide donor,,,,,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,359.26,2.6677,7,0,5,88.65,1,-0.06,,,,0.08,,,,,,-11.24,,,,,,,0,-5.306319602,,,,0,-7.176977968,,,,,,,,,,,,,,,,0,-3.708231357,,,,,,0,-20.22684312,,,,,,,0.5265836265,Oral,"The steady-state Cmax of pretomanid was estimated to be 1.7 μg/mL after a single 200mg oral dose; In a separate pharmacokinetic modeling study, the Cmax of a 200mg dose was 1.1 μg/ml",The plasma protein binding of pretomanid is about 86.4%.[L8048],A pharmacokinetic modeling study estimated the volume of distribution at 130 ± 5L.[A182888] A pharmacokinetic study in healthy volunteers determined a volume of distribution of about 180 ± 51.3L in fasted state and 97.0 ± 17.2L in the fed state.[L8048],"The clearance of pretomanid in a pharmacokinetic simulation study has been estimated at 4.8 ± 0.2 liters/h.[A182888]
 According to the FDA label, the clearance of a single 200 mg oral dose of pretomanid is estimated to be 7.6 liters/h in the fasted state, and 3.9 liters/h in the fed state.[L8048]",The elimination half-life was determined to be 16.9-17.4 hours in a pharmacokinetic study of healthy subjects.[L8048] An FDA briefing document reports a half-life of 18 hours.[L8057],,None,None,NA,Use with caution,NA,,
Rufinamide,Anticonvulsant,Dopaminergic synapse,"GRM5, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",voltage-gated sodium channel blocker,,,,,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,238.197,0.7035,4,1,3,73.8,0,-10.47,,,,-0.04,,,,0.3352,0.1638,-8.338,,,,,,,0,-95.86933835,0,0,Inactive,0,0.2521660134,0,0,Inactive,Inactive,0,-18.7064035,0,0,Inactive,0,-5.001427267,0,0,Inactive,Inactive,0,0.0821963921,,,,,,0,-14.46471419,,,,,,,0.5738176966,Oral,"Tmax, fed and fasted states= 4-6 hours; Cmax, 10 mg/kg/day= 4.01 µL/mL; Cmax, 30mg/kg/day= 8.68 µL/mL; AUC (0h-12h), 10mg/kg/day= 37.8±47 µg·h/mL; AUC (0h-12h), 30mg/kg/day= 89.3±59 µg·h/mL",26.3% - 34.8% with 90% binding to albumin (27%).,"Rufinamide was evenly distributed between erythrocytes and plasma. The apparent volume of distribution is dependent upon dose and varies with body surface area. The apparent volume of distribution was about 50 L at 3200 mg/day.
 Volume of distribution is similar between adults and children and is non-linear.",,"Elimination half-life, healthy subjects and patients with epilepsy = 6-10 hours.",85 %,None,Hypersensitivity; Familial short QT syndrome,Category B3,Not recommended,NA,,
(+)-Camphor,"Analgesic, Anti-inflammatory, Antipruritic",NA,,,,,,,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,152.237,2.4017,1,0,0,17.07,2,4.08,,,,-0.14,,,,,,28.93,,,,,,,0,-14.17479775,0,0,Inactive,0,4.789257107,0,0,Inactive,Inactive,0,-11.39899869,0,0,Inactive,0,-18.47225354,0,0,Inactive,Inactive,0,-3.329756105,,,,,,0,-11.52310881,,,,,,,0.6421449108,,,,,,,,Artemether/lumefantrine; cariprazine; cobimetinib; dienogest/estradiol valerate; doravirine; elbasvir/grazoprevir; elvitegravir/cobicistat/emtricitabine/tenofovir DF; lonafarnib; lumacaftor/ivacaftor; lumefantrine; lurasidone; naloxegol; ombitasvir/paritaprevir/ritonavir & dasabuvir; oxcarbazepine; panobinostat; praziquantel; regorafenib; rilpivirine; roflumilast; vandetanib,Hypersensitivity,NA,NA,NA,,
Parecoxib,NSAIDs,Arachidonic acid metabolism,LTF,cyclooxygenase inhibitor,,,8.3,pIC50,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,370.43,3.53192,5,1,5,89.27,0,5.85,,,,-0.11,,,,,0.03281,24.92,,,,,,,0,-16.32548116,0,0,Inactive,0,1.429513781,0,0,Inactive,Inactive,0,-0.6025386063,0,0,Inactive,0,2.12911487,0,0,Inactive,Inactive,0,-0.7356438913,,,,,,0,-16.28390815,,,,,,,0.6736565492,,,98%,,,22 minutes (parecoxib)| 8 hours (valdecoxib),,NA,NA,Category C,Not recommended,None,,
Saxagliptin,Antidiabetic,Protein digestion and absorption,DPP4,dipeptidyl peptidase inhibitor,,,9.22,pKi,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,315.417,1.15798,4,2,2,90.35,8,-4.62,,,,0,,,,,,2.652,,,,,,,0,-12.63407141,0,0,Inactive,0,-2.820517765,0,0,Inactive,Inactive,0,8.056316388,0,0,Inactive,0,-0.7186755165,0,0,Inactive,Inactive,0,8.086467056,,,,,,0,5.661891902,,,,,,,0.6904239589,Oral,"Following a 5 mg single oral dose of saxagliptin to healthy subjects, the mean plasma AUC values for saxagliptin and its active metabolite were 78 ng•h/mL and 214 ng•h/mL, respectively. The corresponding plasma Cmax values were 24 ng/mL and 47 ng/mL, respectively.",The in vitro protein binding of saxagliptin and its active metabolite in human serum is negligible (<10%).,1.80 L/kg,7.10 mL/min/kg,7.50 hours,"Bioavailability, 2.5 - 50 mg dose = 67%",None,Hypersensitivity,Category B3,Use with caution,None,,
Bosutinib,Antineoplastic,ErbB signaling pathway,"ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK","Abl kinase inhibitor, Bcr-Abl kinase inhibitor, SRC inhibitor",,,10.54,pKd,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,530.456,5.19038,8,1,9,82.88,0,18.71,,,,-0.33,,,,-0.3065,0.09732,-1.12,,,,,,,3.16227766,-96.63655942,,,,14.12537545,-83.00742285,,,,,,,,,,,,,,,,0,-8.977021767,,,,,,7.943282347,-117.5169597,,,,,,,0.7121201366,Oral,"For 500mg dosage, max = 200 ng/mL; AUC = 3650 ng∙h/mL",94% bound to human plasma proteins in vitro. 96% bound to human plasma proteins in healthy subjects ex vivo. Extent of protein binding is not concentration-dependent. ,Apparent volume of distribution = 6080 ± 1230 L.,"Mean clearance (CL/F), single oral dose, fed-state = 189 L/h","Terminal phase elimination half-life, single oral dose, fed-state = 22.5 hours",,lefamulin,Hypersensitivity,NA,Not recommended,None,,
Selexipag,"Antihypertensive, Vasodilator","Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Platelet activation",PTGIR,"IP1 prostacyclin receptor agonist, platelet aggregation inhibitor",,,,,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,496.633,3.898,7,1,12,101.49,0,-2.21,,,,-0.08,,,,,0.0592,10.87,,,,,,,39.81071706,-45.63190366,39.8107,60.2787,Inconclusive,0,-1.869665555,0,0,Inactive,Inactive,0,-7.759739299,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,7.526524546,,,,,,0,-18.41448732,,,,,,,0.7418765589,Oral,,"Both selexipag and its active metabolite are highly protein bound, approximately 99%.",,"On average, 35 L/hour.",Selexipag's terminal half life is 0.8-2.5 hours. The active metabolite's terminal half life is 6.2-13.5 hours.,,Gemfibrozil,Concomitant use of strong CYP2C8 inhibitors,Category B1,Not recommended,NA,,
Cinacalcet,"Antihypercalcemia, Antihyperparathyroidism","NOD-like receptor signaling pathway, Parathyroid hormone synthesis, secretion and action",CASR,calcium channel activator,,,7.7,pEC50,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,357.419,6.142,1,1,6,12.03,1,,,,,-0.38,,,,,-0.07555,18.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9797852907,Oral,,Approximately 93 to 97% bound to plasma proteins.,17.60 L/kg,18.30 mL/min/kg,19.90 hours,20 %,Eliglustat; etelcalcetide,Hyoersensitivity; decreased serum calcium,Category B3,Not recommended,NA,,
GUAIACOL,"Analgesic, Disinfectant",NA,CA2,,,,,,COc1ccccc1O,124.139,1.4008,2,1,1,29.46,0,,,,,,,,,0.2494,,,,,,,,,0,-15.06583958,0,0,Inactive,0,-59.48547569,0,0,Inactive,Inactive,0,3.329916268,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,6.257298955,,,,,,0,-13.15651465,,,,,,,0.4098765432,Oral,,,,,,,NA,NA,NA,NA,NA,,
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,NA,NA,,,,,,,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,536.58,-6.3216,14,12,15,340.68,0,-2.85,,,,-0.05,,,,,,2.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70967467,,,,The volume of distribution of edetate calcium disodium is 0.19±0.10L/kg.[A204122],The mean clearance of edetate in 1 month olds is 54.6mL/min/1.73m2.[A204275] 2-17 year olds have a mean clearance of 113.9±24.4mL/min/1.73m2.[A204275],The half life of edetate calcium disodium is 20-60 minutes.[L12774],,NA,NA,NA,NA,NA,,
ALENDRONATE SODIUM,"Osteoporosis agent, Antiresorptive",Terpenoid backbone biosynthesis,"ATP6V1A, FDPS, PTPN4, PTPRE, PTPRS",bone resorption inhibitor,,,,,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,326.131,-6.7433,4,6,5,255.81,0,,,,,-0.19,,,,,,4.25,,,,,,,0,-6.120428415,0,0,Inactive,0,0.8439312517,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,3.186374568,,,,,,0,-1.654900642,,,,,,,0.9006643467,Oral,,,0.33 L/kg,2.60 mL/min/kg,3.10 hours,1 %,"Human parathyroid hormone, recombinant",Hypersensitivity; Hypocalcemia,Category B3,Not recommended,NA,,
RIZATRIPTAN BENZOATE,"Antimigraine, Vasoconstrictor","Neuroactive ligand-receptor interaction, Serotonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F",serotonin receptor agonist,,,6.9,pKi,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12.OC(=O)c1ccccc1,391.475,3.2966,5,2,6,87.04,0,-3.9,,,,0.07,,,,0.7991,,-3.916,,,,,,,25.11886432,-12.96989582,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.298560362,0,0,Inactive,Inactive,0,-0.0849137044,,,,,,0,-22.60824124,,,,,,,0.4482110862,Oral,,14%,1.90 L/kg,16 mL/min/kg,2.20 hours,45 %,"almotriptan
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
sumatriptan
sumatriptan intranasal
zolmitriptan","Hypersensitivity
Coronary artery vasospasm
History of stroke or transient ischemic attack
Ischemic bowel
Peripheral vascular disease
Basilar or hemiplegic migraine",Category B1,Use with caution,None,,
METAXALONE,Skeletal muscle relaxant,NA,,,,,,,O=C1NCC(COc2cc(C)cc(C)c2)O1,221.256,1.79064,3,1,3,47.56,1,-6.36,,,,0.12,,,,,0.2292,4.879,,,,,,,0,-10.21904745,0,0,Inactive,0,-28.56619021,0,0,Inactive,Inactive,0,0.5193065203,0,0,Inactive,0,-24.91748909,0,0,Inactive,Inactive,0,-2.741001034,,,,,,0,-7.591595644,,,,,,,0.4796506786,Oral,,,* 800 L,"* 68 +/- 50 L/h [Subjects received 1×400mg tablet under fasted conditions]
 * 66 +/- 51 L/h [Subjects received 2×400 mg tablets under fasted conditions]",9.2 (+/- 4.8) hours,,None,Hypersensitivity; renal/hepatic impairement,Category C,Not recommended,NA,,
DONEPEZIL HYDROCHLORIDE,Anti-Alzheimer's,"Glycerophospholipid metabolism, Cholinergic synapse",ACHE,acetylcholinesterase inhibitor,,,,,COc1cc2c(CC(CC3CCN(CC3)Cc3ccccc3)C2=O)cc1OC,415.961,4.7829,4,0,6,38.77,1,,,,,-0.2,,,,,0.173,18.24,,,,,,,39.81071706,-22.0683885,39.8107,75.6921,Inconclusive,0,4.254292812,0,0,Inactive,Inactive,39.81071706,-11.48366028,39.8107,38.3877,Inconclusive,0,-0.9717957086,0,0,Inactive,Inactive,0,-1.909780602,,,,,,0,-0.7433345907,,,,,,,0.6217082123,Oral,"Donepezil is slowly absorbed via the gastrointestinal tract after oral administration. Tmax is 3 to 4 hours with a bioavailability of 100% and steady-state concentrations are attained within 15 to 21 days of administration; The Tmax in one pharmacokinetic study determined a Tmax of 4.1 ± 1.5 hours. The Cmax of 5 mg donepezil tablets is estimated to be 8.34 ng/mL, according to the Canadian monograph. The AUC of 5 mg donepezil tablets has been determined to be 221.90-225.36ng hr/mL","96% protein-bound, with approximately 75% binding to albumin and approximately 21% binding to alpha-1-glycoprotein",The volume of distribution of donepezil is 11.8 ± 1.7 L/kg for a 5-mg dose and 11.6 ± 1.91 L/kg for a 10-mg dose. It is largely distributed in the extravascular compartments. Donepezil crosses the blood-brain barrier and cerebrospinal fluid concentrations at the above doses have been measured at 15.7%.[A182333] The volume of distribution at steady-state according to the FDA label for donepezil ranges from 12 - 16 L/kg.[L7916],"According to the FDA label, the average apparent plasma clearance of this drug is 0.13 – 0.19 L/hr/kg.[L7916] A 5 mg dose of donepezil in healthy patients was shown to have a plasma clearance of 0.110±0.02 L/h/kg.[L7952] In 10 patients diagnosed with alcoholic cirrhosis, showed a mean decrease in clearance by 20% when compared to the clearance in 10 healthy subjects. In 4 patients with severe renal impairment compared to 4 healthy subjects, no significant change in clearance was noted.[L7952]","The average elimination half-life of donepezil is about 70 hours according to the results of various studies and the FDA label for donepezil.[A182333,L7916]. One pharmacokinetic study determined the average terminal half-life to be 81.5±22.0 h[A182324]",99 %,None,Hypersensitivity,Category B3,Not recommended,NA,,
FAMPRIDINE,Multiple Sclerosis Agent,NA,,,,,,,Nc1ccncc1,94.117,0.6638,2,1,0,38.91,0,-6.59,,,,-0.05,,,,0.1168,0.1111,27.93,,,,,,,0,-151.4324653,0,0,Inactive,0,11.12891416,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-3.149196958,,,,,,0,-22.44053921,,,,,,,0.6824914587,Oral,"Tmax, immediate release form = 1 hour; Tmax, extended release form = 3.5 hours; Cmax, 10 mg extended release = 17.3 - 21.6 ng/mL",10 mg extended release = 1-3% protein bound,2.60 L/kg,9.30 mL/min/kg,3.60 hours,Relative bioavailability of 10 mg extended-release tablets compared to aqueous oral solution = 96%,NA,Hypersensitivity; history of seizures,Category C,Not recommended,NA,,
CYSTEAMINE HYDROCHLORIDE,Anti-urolithic (cysteine calculi),,"NPY2R, SST",tissue transglutaminase inhibitor,,,,,NCCS,113.613,0.2967,2,2,1,26.02,0,,,,,,,,,,0.253,,,,,,,,0,-66.28691718,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,7.089936575,0,0,Inactive,Inactive,0,6.788145336,,,,,,0,1.701907315,,,,,,,0.1283851555,Oral,"One pharmacokinetic study of adults with Cystic Fibrosis revealed a Cmax of 2.86 mg/L; The maximum plasma concentration after administration of cysteamine eye drops is unknown, however, it is likely to be considerably lower than oral administration; According to prescribing information, the AUC 0-12 h for the delayed-release oral tablets is 99.26 ± 44.2 μmol*h/L with a Cmax of 27.70 ± 14.99 μmol/L; The AUC 0-12 for the immediate-release tablets is 192.00 ± 75.62 μmol*h/L with a Cmax of 37.72 ± 12.10 μmol/L",52%,"Cysteamine has a volume of distribution of about 129 L, according to one pharmacokinetic study.[A218941] Prescribing information indicates a volume of distribution of 382 L for the delayed-release formulation and 198 L for the immediate-release preparation.[L15616]
 It is known to cross the blood-brain barrier.[A218946]",The plasma clearance of cysteamine is about 1.2 - 1.4 L/min.[L15616] One reference mentions a clearance of 89.9 L/h in patients with Cystic Fibrosis.[A218941],The half-life of cysteamine is about 3.7 hours.[A218941],,NA,Hypersensitivity,Category B3,Not recommended,NA,,
ZOLMITRIPTAN,"Antimigraine, Vasoconstrictor","Neuroactive ligand-receptor interaction, Seratonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F",serotonin receptor agonist,,,8.9,pKi,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,287.363,1.9229,3,2,5,57.36,1,7.85,,,,0.24,,,,0.4913,0.1454,25.69,,,,,,,39.81071706,-62.03818209,39.8107,40.8308,Inconclusive,0,1.535060667,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-0.0490508012,,,,,,0,-1.18744114,,,,,,,0.326485837,Oral; intranasal,"The dosing kinetics are linear over a range of 2.5 to 50 mg with 75% of the eventual Cmax being attained within 1 hour of dosing. The median Tmax for the tablet form is 1.5 hours, while for the orally disintegrating tablet form, it is 3 hours.; The AUC across studies was in the range of 84.4-173.8 ng/mL*h while the Cmax was between 16 and 25.2 ng/mL",Zolmitriptan and its active N-desmethyl metabolite remain approximately 25% bound to plasma proteins over a concentration range of 10-1000 ng/mL,1.80 L/kg,6.70 mL/min/kg,3.60 hours,45 %,"almotriptan
bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
sumatriptan
sumatriptan intranasal","Hypersensitivity
History of myocardial infarction
Ischemic or vasospastic artery disease
Peripheral vascular disease
Ischemic bowel disease",Category B3,Use with caution ,None,,
FUSIDIC ACID,Antibacterial,NA,,bacterial 30S ribosomal subunit inhibitor,,,,,CC(=CCC/C(=C1\[C@@H](OC(=O)C)C[C@@]2(C)[C@H]\1C[C@@H](O)C1[C@@]3(C)CC[C@@H](O)[C@@H](C)[C@@H]3CC[C@]21C)/C(=O)O)C,516.719,5.6661,5,3,5,104.06,10,6.87,,,,0.04,,,,,,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413748275,Oral,,97 to 99%,,,Approximately 5 to 6 hours in adults.,91 %,NA,NA,Category C,Use with caution,NA,,
